trade_date,book,node_id,node_name,product,quantity_mw,avg_price,mark_price,unrealized_pnl,delta,gamma,theta
2024-05-01,ERCOT_NORTH,LZ_NORTH,North Load Zone,RT,-296.1,114.5676,107.6864,2037.55,-281.3,0.2961,-1.4805
2024-05-01,ERCOT_NORTH,LZ_NORTH,North Load Zone,CRR,-177.81,57.1806,68.6125,-2032.72,-168.92,0.1778,-0.8891
2024-05-01,ERCOT_NORTH,HB_NORTH,North Hub,RT,-8.1,92.3877,83.7965,69.57,-7.69,0.0081,-0.0405
2024-05-01,ERCOT_NORTH,HB_NORTH,North Hub,CRR,160.44,44.5749,56.3,1881.13,152.41,0.1604,-0.8022
2024-05-01,ERCOT_NORTH,HB_WEST,West Hub,DA,215.78,115.0997,100.0572,-3245.9,204.99,0.2158,-1.0789
2024-05-01,ERCOT_NORTH,HB_WEST,West Hub,CRR,49.17,50.8462,63.2276,608.81,46.71,0.0492,-0.2459
2024-05-01,ERCOT_NORTH,HB_HOUSTON,Houston Hub,RT,292.75,119.9193,131.1631,3291.65,278.11,0.2928,-1.4638
2024-05-01,ERCOT_SOUTH,LZ_NORTH,North Load Zone,CRR,-115.16,46.0058,52.8657,-790.0,-109.4,0.1152,-0.5758
2024-05-01,ERCOT_SOUTH,LZ_SOUTH,South Load Zone,RT,159.52,32.069,18.0327,-2239.01,151.54,0.1595,-0.7976
2024-05-01,ERCOT_SOUTH,LZ_SOUTH,South Load Zone,CRR,-111.87,107.4568,116.3297,-992.58,-106.27,0.1119,-0.5593
2024-05-01,ERCOT_SOUTH,LZ_HOUSTON,Houston Load Zone,DA,-116.33,40.888,55.439,-1692.66,-110.51,0.1163,-0.5816
2024-05-01,ERCOT_SOUTH,LZ_HOUSTON,Houston Load Zone,RT,-126.36,69.6513,55.6349,1771.09,-120.04,0.1264,-0.6318
2024-05-01,ERCOT_SOUTH,LZ_HOUSTON,Houston Load Zone,CRR,-279.11,64.8146,80.0263,-4245.68,-265.15,0.2791,-1.3955
2024-05-01,ERCOT_SOUTH,HB_NORTH,North Hub,CRR,214.37,66.7661,78.9445,2610.64,203.65,0.2144,-1.0718
2024-05-01,ERCOT_WEST,HB_NORTH,North Hub,DA,-22.63,112.8213,107.4047,122.59,-21.5,0.0226,-0.1132
2024-05-01,ERCOT_WEST,HB_NORTH,North Hub,RT,-65.82,37.3776,30.5086,452.1,-62.53,0.0658,-0.3291
2024-05-01,ERCOT_WEST,HB_NORTH,North Hub,CRR,-183.86,101.051,112.8207,-2163.92,-174.66,0.1839,-0.9193
2024-05-01,ERCOT_WEST,HB_WEST,West Hub,DA,-228.52,64.403,51.0263,3056.85,-217.09,0.2285,-1.1426
2024-05-01,ERCOT_WEST,HB_WEST,West Hub,RT,-81.75,114.1811,111.4863,220.32,-77.67,0.0818,-0.4088
2024-05-01,ERCOT_WEST,HB_WEST,West Hub,CRR,-209.51,84.3937,109.2674,-5211.34,-199.04,0.2095,-1.0476
2024-05-01,ERCOT_WEST,LZ_WEST,West Load Zone,DA,-48.48,61.2266,56.8364,212.85,-46.06,0.0485,-0.2424
2024-05-01,ERCOT_WEST,LZ_WEST,West Load Zone,CRR,129.4,84.5996,104.1035,2523.86,122.93,0.1294,-0.647
2024-05-01,ERCOT_WEST,LZ_HOUSTON,Houston Load Zone,DA,-7.64,90.7174,100.491,-74.67,-7.26,0.0076,-0.0382
2024-05-01,ERCOT_WEST,LZ_HOUSTON,Houston Load Zone,RT,-272.72,110.4332,105.1311,1445.97,-259.08,0.2727,-1.3636
2024-05-01,ERCOT_WEST,LZ_HOUSTON,Houston Load Zone,CRR,51.52,99.2348,96.9445,-117.99,48.94,0.0515,-0.2576
2024-05-01,ERCOT_HUB,HB_WEST,West Hub,DA,-120.34,110.9663,78.6245,3892.16,-114.33,0.1203,-0.6017
2024-05-01,ERCOT_HUB,HB_WEST,West Hub,RT,-273.84,118.0211,117.0635,262.25,-260.14,0.2738,-1.3692
2024-05-01,ERCOT_HUB,HB_WEST,West Hub,CRR,-210.59,43.9752,74.9658,-6526.41,-200.06,0.2106,-1.053
2024-05-01,ERCOT_HUB,BUS_SABINE,Sabine Bus,CRR,211.03,100.2338,96.2551,-839.63,200.48,0.211,-1.0552
2024-05-01,ERCOT_HUB,LZ_NORTH,North Load Zone,DA,163.68,106.754,108.0763,216.43,155.5,0.1637,-0.8184
2024-05-01,ERCOT_HUB,LZ_NORTH,North Load Zone,CRR,-279.1,43.5865,62.9793,-5412.51,-265.14,0.2791,-1.3955
2024-05-01,ERCOT_HUB,LZ_HOUSTON,Houston Load Zone,DA,-223.87,117.0235,93.5814,5247.98,-212.68,0.2239,-1.1194
2024-05-01,ERCOT_HUB,LZ_HOUSTON,Houston Load Zone,RT,255.14,69.8773,90.7745,5331.78,242.39,0.2551,-1.2757
2024-05-01,ERCOT_CRR,LZ_WEST,West Load Zone,DA,-202.36,38.7999,24.8307,2826.8,-192.24,0.2024,-1.0118
2024-05-01,ERCOT_CRR,LZ_WEST,West Load Zone,CRR,-162.76,48.1625,64.6435,-2682.37,-154.62,0.1628,-0.8138
2024-05-01,ERCOT_CRR,LZ_HOUSTON,Houston Load Zone,CRR,-113.1,66.398,78.543,-1373.58,-107.44,0.1131,-0.5655
2024-05-01,ERCOT_CRR,HB_SOUTH,South Hub,RT,105.28,35.1011,26.5486,-900.38,100.01,0.1053,-0.5264
2024-05-01,ERCOT_CRR,HB_SOUTH,South Hub,CRR,200.03,68.2392,64.4178,-764.38,190.02,0.2,-1.0001
2024-05-01,ERCOT_CRR,BUS_SABINE,Sabine Bus,DA,95.18,84.57,80.2752,-408.77,90.42,0.0952,-0.4759
2024-05-01,ERCOT_CRR,BUS_SABINE,Sabine Bus,RT,102.85,105.9122,105.6859,-23.28,97.71,0.1028,-0.5142
2024-05-01,ERCOT_CRR,BUS_SABINE,Sabine Bus,CRR,-265.43,33.1944,22.4903,2841.19,-252.16,0.2654,-1.3271
2024-05-02,ERCOT_NORTH,HB_NORTH,North Hub,DA,-26.23,68.7791,80.2,-299.53,-24.92,0.0262,-0.1311
2024-05-02,ERCOT_NORTH,HB_NORTH,North Hub,CRR,174.68,80.0625,74.8998,-901.85,165.95,0.1747,-0.8734
2024-05-02,ERCOT_NORTH,LZ_NORTH,North Load Zone,DA,46.19,87.4983,86.7681,-33.73,43.88,0.0462,-0.2309
2024-05-02,ERCOT_NORTH,LZ_NORTH,North Load Zone,CRR,-260.37,119.3658,104.4453,3884.91,-247.35,0.2604,-1.3019
2024-05-02,ERCOT_NORTH,BUS_BRAZOS,Brazos Valley Bus,CRR,-192.46,94.4402,92.8123,313.31,-182.84,0.1925,-0.9623
2024-05-02,ERCOT_NORTH,BUS_SABINE,Sabine Bus,DA,-262.46,93.0792,79.0846,3673.0,-249.34,0.2625,-1.3123
2024-05-02,ERCOT_NORTH,BUS_SABINE,Sabine Bus,RT,277.3,68.3779,59.6998,-2406.43,263.43,0.2773,-1.3865
2024-05-02,ERCOT_NORTH,BUS_SABINE,Sabine Bus,CRR,64.91,114.1301,100.2652,-899.94,61.66,0.0649,-0.3245
2024-05-02,ERCOT_SOUTH,BUS_SABINE,Sabine Bus,RT,39.07,93.9207,134.6602,1591.71,37.12,0.0391,-0.1954
2024-05-02,ERCOT_SOUTH,LZ_HOUSTON,Houston Load Zone,DA,177.24,38.4688,43.128,825.77,168.37,0.1772,-0.8862
2024-05-02,ERCOT_SOUTH,LZ_HOUSTON,Houston Load Zone,RT,125.82,34.0937,33.7218,-46.79,119.53,0.1258,-0.6291
2024-05-02,ERCOT_SOUTH,LZ_HOUSTON,Houston Load Zone,CRR,-233.99,62.4104,77.8535,-3613.54,-222.29,0.234,-1.17
2024-05-02,ERCOT_SOUTH,HB_HOUSTON,Houston Hub,CRR,174.9,102.8305,89.6252,-2309.54,166.15,0.1749,-0.8745
2024-05-02,ERCOT_SOUTH,HB_NORTH,North Hub,CRR,-111.61,108.7606,93.711,1679.62,-106.03,0.1116,-0.558
2024-05-02,ERCOT_WEST,HB_NORTH,North Hub,DA,287.57,86.1371,78.2741,-2261.18,273.2,0.2876,-1.4379
2024-05-02,ERCOT_WEST,HB_NORTH,North Hub,RT,188.37,39.6551,30.5185,-1721.04,178.95,0.1884,-0.9418
2024-05-02,ERCOT_WEST,HB_NORTH,North Hub,CRR,32.29,108.067,76.7864,-1009.93,30.67,0.0323,-0.1614
2024-05-02,ERCOT_WEST,HB_HOUSTON,Houston Hub,DA,-22.13,58.4038,63.2296,-106.81,-21.03,0.0221,-0.1107
2024-05-02,ERCOT_WEST,HB_HOUSTON,Houston Hub,RT,-255.12,93.277,50.287,10967.6,-242.36,0.2551,-1.2756
2024-05-02,ERCOT_WEST,LZ_NORTH,North Load Zone,DA,281.3,49.2683,71.4633,6243.36,267.23,0.2813,-1.4065
2024-05-02,ERCOT_WEST,LZ_NORTH,North Load Zone,RT,58.72,89.9454,88.3639,-92.86,55.78,0.0587,-0.2936
2024-05-02,ERCOT_WEST,LZ_NORTH,North Load Zone,CRR,-217.29,105.9474,76.0944,6486.88,-206.43,0.2173,-1.0865
2024-05-02,ERCOT_HUB,LZ_NORTH,North Load Zone,RT,-221.06,118.6673,121.0834,-534.11,-210.01,0.2211,-1.1053
2024-05-02,ERCOT_HUB,LZ_WEST,West Load Zone,DA,-289.91,107.9517,100.2011,2247.02,-275.42,0.2899,-1.4496
2024-05-02,ERCOT_HUB,LZ_WEST,West Load Zone,RT,-135.3,118.6754,118.5398,18.35,-128.54,0.1353,-0.6765
2024-05-02,ERCOT_HUB,LZ_WEST,West Load Zone,CRR,243.63,53.6394,38.4956,-3689.43,231.44,0.2436,-1.2181
2024-05-02,ERCOT_HUB,LZ_HOUSTON,Houston Load Zone,DA,-54.7,116.0139,120.8167,-262.72,-51.97,0.0547,-0.2735
2024-05-02,ERCOT_HUB,LZ_HOUSTON,Houston Load Zone,RT,70.05,31.7555,45.3195,950.19,66.55,0.0701,-0.3503
2024-05-02,ERCOT_HUB,LZ_HOUSTON,Houston Load Zone,CRR,-123.38,98.7631,96.6172,264.76,-117.21,0.1234,-0.6169
2024-05-02,ERCOT_HUB,BUS_BRAZOS,Brazos Valley Bus,DA,172.68,31.9699,40.7166,1510.34,164.04,0.1727,-0.8634
2024-05-02,ERCOT_HUB,BUS_BRAZOS,Brazos Valley Bus,CRR,143.45,45.3427,16.6364,-4117.8,136.27,0.1434,-0.7172
2024-05-02,ERCOT_CRR,HB_WEST,West Hub,DA,219.94,51.1491,62.034,2394.05,208.94,0.2199,-1.0997
2024-05-02,ERCOT_CRR,HB_HOUSTON,Houston Hub,DA,-47.99,60.1887,82.1023,-1051.56,-45.59,0.048,-0.2399
2024-05-02,ERCOT_CRR,HB_HOUSTON,Houston Hub,CRR,-108.73,74.2095,63.4337,1171.62,-103.29,0.1087,-0.5436
2024-05-02,ERCOT_CRR,HB_NORTH,North Hub,RT,66.66,79.8316,74.5277,-353.55,63.32,0.0667,-0.3333
2024-05-02,ERCOT_CRR,BUS_SABINE,Sabine Bus,RT,18.26,45.0396,42.2115,-51.63,17.34,0.0183,-0.0913
2024-05-03,ERCOT_NORTH,LZ_NORTH,North Load Zone,RT,278.87,47.1375,21.7403,-7082.64,264.93,0.2789,-1.3944
2024-05-03,ERCOT_NORTH,LZ_NORTH,North Load Zone,CRR,-244.09,112.7667,132.5444,-4827.61,-231.89,0.2441,-1.2205
2024-05-03,ERCOT_NORTH,HB_HOUSTON,Houston Hub,DA,178.72,61.8087,35.0661,-4779.42,169.78,0.1787,-0.8936
2024-05-03,ERCOT_NORTH,HB_HOUSTON,Houston Hub,RT,124.4,74.3749,70.5364,-477.53,118.18,0.1244,-0.622
2024-05-03,ERCOT_NORTH,HB_HOUSTON,Houston Hub,CRR,-278.89,105.6019,86.5357,5317.46,-264.95,0.2789,-1.3945
2024-05-03,ERCOT_NORTH,HB_SOUTH,South Hub,DA,-37.32,74.8143,63.496,422.36,-35.45,0.0373,-0.1866
2024-05-03,ERCOT_NORTH,HB_SOUTH,South Hub,RT,-34.04,63.6124,54.5789,307.5,-32.34,0.034,-0.1702
2024-05-03,ERCOT_NORTH,HB_SOUTH,South Hub,CRR,150.56,38.863,32.5374,-952.39,143.03,0.1506,-0.7528
2024-05-03,ERCOT_NORTH,LZ_WEST,West Load Zone,DA,226.54,87.3683,98.8606,2603.42,215.21,0.2265,-1.1327
2024-05-03,ERCOT_NORTH,LZ_WEST,West Load Zone,RT,-286.91,108.2082,128.2393,-5747.16,-272.57,0.2869,-1.4346
