datetime,forecasted_load_mw,actual_load_mw
2025-01-01 00:00:00,58730.554296157185,59786.81178530257
2025-01-01 01:00:00,60628.10031258197,58661.58475154657
2025-01-01 02:00:00,42930.955087526774,43181.64250743311
2025-01-01 03:00:00,33931.62938359055,47546.764604298325
2025-01-01 04:00:00,48545.51833689031,32545.565730363865
2025-01-01 05:00:00,56854.56466712963,45602.84957794107
2025-01-01 06:00:00,44573.012322692426,40063.13752401683
2025-01-01 07:00:00,48500.05024488018,42214.40951101613
2025-01-01 08:00:00,46713.95257992964,49043.823884460966
2025-01-01 09:00:00,60719.13389382717,52119.530834534125
2025-01-01 10:00:00,66469.59229932864,43125.52570990743
2025-01-01 11:00:00,53360.64779348843,48793.41585564275
2025-01-01 12:00:00,53544.52991948357,44362.25585312047
2025-01-01 13:00:00,36868.020385906435,52314.80117015986
2025-01-01 14:00:00,44649.640652897404,46521.62031480285
2025-01-01 15:00:00,55087.37647465135,39187.28637909676
2025-01-01 16:00:00,51256.96267677668,42382.315895679014
2025-01-01 17:00:00,52102.61280005482,46187.70001173201
2025-01-01 18:00:00,34339.51904917204,53903.764808849315
2025-01-01 19:00:00,30984.186146883545,61375.19155681241
2025-01-01 20:00:00,63651.58875893812,43064.375824716866
2025-01-01 21:00:00,46811.52278336705,33582.88608123206
2025-01-01 22:00:00,34659.173427045986,59154.07200566701
2025-01-01 23:00:00,47021.26603468325,53296.498014579636
2025-01-02 00:00:00,36528.897383042735,50967.7543908954
2025-01-02 01:00:00,38789.9019989125,37238.57331605318
2025-01-02 02:00:00,42050.754119333506,47852.13255241295
2025-01-02 03:00:00,36519.514050775484,54486.03431879492
2025-01-02 04:00:00,20833.218364562654,36490.60346879786
2025-01-02 05:00:00,54077.017420430544,56298.42417570621
2025-01-02 06:00:00,43322.13554360497,52018.090003405996
2025-01-02 07:00:00,55605.38496685666,58919.090510707225
2025-01-02 08:00:00,48297.19637284431,55277.43948988314
2025-01-02 09:00:00,33430.77726443681,29705.703612106565
2025-01-02 10:00:00,47765.14976374004,39983.42954934667
2025-01-02 11:00:00,59315.45252085343,54289.65696218472
2025-01-02 12:00:00,47203.67284932489,38098.42644827507
2025-01-02 13:00:00,42210.054113194674,41889.6197613953
2025-01-02 14:00:00,36463.90631427269,47113.82917240517
2025-01-02 15:00:00,43376.954780342625,44238.02878837648
2025-01-02 16:00:00,38698.06707431085,31509.359367704674
2025-01-02 17:00:00,44182.55203186594,52276.09134799635
2025-01-02 18:00:00,30521.160545166305,46590.66898962737
2025-01-02 19:00:00,38266.08398460297,50561.3068708452
2025-01-02 20:00:00,52775.25455849235,46779.83836701993
2025-01-02 21:00:00,49161.13241483513,29173.884343790647
2025-01-02 22:00:00,45335.74212112404,42990.999303144854
2025-01-02 23:00:00,37849.58279623285,40683.42289031106
2025-01-03 00:00:00,61144.80252755186,48754.77135554916
2025-01-03 01:00:00,65404.87238809047,54135.3837274085
2025-01-03 02:00:00,38078.01601234774,45161.72741481184
2025-01-03 03:00:00,54898.01253062194,53850.681784352055
2025-01-03 04:00:00,38517.65939270562,60177.560399111
2025-01-03 05:00:00,52269.50794279967,53484.71911744327
2025-01-03 06:00:00,28695.060640028987,64409.329959249524
2025-01-03 07:00:00,43064.87251334767,38497.03610323995
2025-01-03 08:00:00,49523.165112393355,57578.394531950406
2025-01-03 09:00:00,51111.68323718712,44428.69262721851
2025-01-03 10:00:00,39842.73372928232,51184.07351574687
2025-01-03 11:00:00,52725.862730356464,35628.16504425165
2025-01-03 12:00:00,47317.465860225,64753.00066749414
2025-01-03 13:00:00,36256.97512259639,42390.53416401534
2025-01-03 14:00:00,38956.499025376914,55665.851002461575
2025-01-03 15:00:00,61151.842200932704,63839.98336404402
2025-01-03 16:00:00,49468.33788048594,48160.74905706918
2025-01-03 17:00:00,44503.70422652408,59242.61931947418
2025-01-03 18:00:00,35842.98309997607,37911.201100203194
2025-01-03 19:00:00,43415.98098827555,56072.91698587739
2025-01-03 20:00:00,49563.27458642354,49766.60234013123
2025-01-03 21:00:00,51094.07092070049,46651.05212488535
2025-01-03 22:00:00,49002.11788385947,43128.819955673476
2025-01-03 23:00:00,42540.15189659235,36345.869964476595
2025-01-04 00:00:00,32761.24085536404,49668.594348482664
2025-01-04 01:00:00,47236.49969125055,44979.7172147024
2025-01-04 02:00:00,47694.47635146376,53847.16634572426
2025-01-04 03:00:00,40983.61006109546,50995.44515724703
2025-01-04 04:00:00,46292.886849407965,51284.2716525163
2025-01-04 05:00:00,48796.44957104274,53807.255331059314
2025-01-04 06:00:00,50617.72274595445,39567.05642769399
2025-01-04 07:00:00,54539.65306869136,35826.60599254871
2025-01-04 08:00:00,28383.574640698625,40378.12409868502
2025-01-04 09:00:00,51678.24743186899,45905.811334533435
2025-01-04 10:00:00,35012.688552415595,40381.77990374822
2025-01-04 11:00:00,39572.03049954222,37916.8628624224
2025-01-04 12:00:00,56667.64390606976,35529.74063157974
2025-01-04 13:00:00,38081.70177940069,47085.656790706504
2025-01-04 14:00:00,55031.3636454909,46348.324517182016
2025-01-04 15:00:00,43235.21224960829,48348.4115261185
2025-01-04 16:00:00,60024.638934120696,55161.595985322434
2025-01-04 17:00:00,37027.95612365968,48513.170580056394
2025-01-04 18:00:00,47279.24588139709,53020.673238106
2025-01-04 19:00:00,25421.909228554585,53755.08160308909
2025-01-04 20:00:00,48737.85385274244,38093.252587614166
2025-01-04 21:00:00,34708.20212509296,65719.61650101522
2025-01-04 22:00:00,45954.69742936563,41296.53496916636
2025-01-04 23:00:00,40967.27665374901,47558.87278753843
2025-01-05 00:00:00,62428.02821231155,43399.96817850413
2025-01-05 01:00:00,44343.48049810726,47455.39456907335
2025-01-05 02:00:00,61360.363522600615,59217.89976937127
2025-01-05 03:00:00,39942.01208123613,58033.968803606054
2025-01-05 04:00:00,21312.33117495656,44554.82226560261
2025-01-05 05:00:00,54074.58438137308,36455.96673599172
2025-01-05 06:00:00,38211.00737419029,64597.72504522136
2025-01-05 07:00:00,56912.11424549943,60776.05727149815
2025-01-05 08:00:00,46853.03451012295,29181.172404155208
2025-01-05 09:00:00,52796.84559927287,50081.24218922608
2025-01-05 10:00:00,55135.86156610164,36453.10764252125
2025-01-05 11:00:00,65745.39995495764,46858.967780396524
2025-01-05 12:00:00,56514.61371546918,49988.81017403058
2025-01-05 13:00:00,49529.704165827534,53149.19896947941
2025-01-05 14:00:00,54936.92312819725,33803.80416073429
2025-01-05 15:00:00,54076.84430444191,61947.50083952204
2025-01-05 16:00:00,52015.54023244126,39999.47851244836
2025-01-05 17:00:00,64208.40731750232,43974.20284808493
2025-01-05 18:00:00,46185.20567691468,49936.15489048413
2025-01-05 19:00:00,49223.214802604816,43803.24361555141
2025-01-05 20:00:00,43364.29264427505,52672.29595370454
2025-01-05 21:00:00,70125.01794049852,51756.088524078776
2025-01-05 22:00:00,45503.78326468768,52995.060851402035
2025-01-05 23:00:00,50830.02208781708,51040.05570412469
2025-01-06 00:00:00,40339.67509729263,36631.36714727334
2025-01-06 01:00:00,44684.37229975502,52468.98979328644
2025-01-06 02:00:00,56137.34086730408,60682.71718138135
2025-01-06 03:00:00,46970.20682041389,43149.91531760082
2025-01-06 04:00:00,57447.3209667559,48017.936108626505
2025-01-06 05:00:00,54586.995719995306,56896.74070811769
2025-01-06 06:00:00,47162.291106968856,56782.17672515104
2025-01-06 07:00:00,40898.96924486209,42372.61788411098
2025-01-06 08:00:00,50389.512442289146,41114.159640000056
2025-01-06 09:00:00,50397.94348963344,48567.23294546442
2025-01-06 10:00:00,48128.815915767314,51184.74494461306
2025-01-06 11:00:00,50414.08474325909,55181.39911843871
2025-01-06 12:00:00,42385.47231665275,30751.074856477593
2025-01-06 13:00:00,53299.31450703743,46485.605384313574
2025-01-06 14:00:00,51400.28197984263,48886.12354756331
2025-01-06 15:00:00,41890.526456251886,34384.52284651652
2025-01-06 16:00:00,44205.60950410798,50242.99121511797
2025-01-06 17:00:00,47561.89857313994,42297.96576146243
2025-01-06 18:00:00,44276.39699166791,57036.61591928995
2025-01-06 19:00:00,41790.29188400875,45654.637579268645
2025-01-06 20:00:00,56314.50600919242,47663.40727615337
2025-01-06 21:00:00,55139.37838105292,37754.76330239319
2025-01-06 22:00:00,52859.642576066704,59325.826310773795
2025-01-06 23:00:00,38612.29880378477,56485.29881120008
2025-01-07 00:00:00,62816.322660550686,48944.07387204364
2025-01-07 01:00:00,50544.99162502742,46372.46933293112
2025-01-07 02:00:00,47000.8612711068,56059.02759381377
2025-01-07 03:00:00,54651.03364803797,54401.419439076395
2025-01-07 04:00:00,47069.266675388295,42121.83816234185
2025-01-07 05:00:00,24956.410607041744,41587.885247242004
2025-01-07 06:00:00,50114.50064935436,40939.72606141628
2025-01-07 07:00:00,56736.81620563685,47828.89180730565
2025-01-07 08:00:00,51058.805181644944,45278.78433511593
2025-01-07 09:00:00,33107.443096795,58470.94489565276
2025-01-07 10:00:00,54816.68321593876,57751.8962873072
2025-01-07 11:00:00,50183.52691253669,47459.32232057408
2025-01-07 12:00:00,50730.24259508211,53933.117752641054
2025-01-07 13:00:00,35807.71236538058,56916.61615719094
2025-01-07 14:00:00,43566.54057716183,68083.75417704598
2025-01-07 15:00:00,39188.98751448738,55141.35805349392
2025-01-07 16:00:00,55228.39702510033,53825.05352474846
2025-01-07 17:00:00,51773.7333411671,28288.874845414888
2025-01-07 18:00:00,42950.099947759,57898.5045303381
2025-01-07 19:00:00,42002.4318852358,49522.64090155384
2025-01-07 20:00:00,45482.72570749923,42500.94207166524
2025-01-07 21:00:00,50314.18481661559,41838.77388596153
2025-01-07 22:00:00,55107.0560097142,51712.5519667214
2025-01-07 23:00:00,40705.73428631257,36770.12517335975
2025-01-08 00:00:00,50882.38911682783,39599.26966636425
2025-01-08 01:00:00,45066.57952999877,55142.68836978768
2025-01-08 02:00:00,24440.677869518306,57570.42274707716
2025-01-08 03:00:00,43738.48223760859,61031.04690832874
2025-01-08 04:00:00,51215.04285662342,39165.72085960597
2025-01-08 05:00:00,41472.77442291847,42318.568548709234
2025-01-08 06:00:00,50793.50526621863,50035.911805391916
2025-01-08 07:00:00,53583.8880656598,56917.24968571222
2025-01-08 08:00:00,57230.07402153088,52201.1961804003
2025-01-08 09:00:00,39498.08848099057,50274.28193383144
2025-01-08 10:00:00,57403.389491700276,43548.62832372356
2025-01-08 11:00:00,48264.30526250513,38739.358300623804
2025-01-08 12:00:00,35428.26610141378,35735.60960782251
2025-01-08 13:00:00,46068.85781774026,45367.51070825602
2025-01-08 14:00:00,45632.233080254184,42514.364514682085
2025-01-08 15:00:00,43687.578842281335,43446.70206410937
2025-01-08 16:00:00,38095.14716415132,49624.968171921886
2025-01-08 17:00:00,49907.37678867776,52504.98307887582
2025-01-08 18:00:00,47510.4047649319,43533.66703900676
2025-01-08 19:00:00,43595.30493156455,51242.22315366644
2025-01-08 20:00:00,40355.813680104024,52995.55299831537
2025-01-08 21:00:00,33350.25162140701,44061.01021879732
2025-01-08 22:00:00,60377.238357747614,43637.884013705996
2025-01-08 23:00:00,45866.34831022173,49223.96323021122
2025-01-09 00:00:00,54350.191369726774,40137.68431060172
2025-01-09 01:00:00,56927.40828387118,70810.0167094553
2025-01-09 02:00:00,56306.7051387529,51040.93797928421
2025-01-09 03:00:00,53367.799098377545,39032.225593783296
2025-01-09 04:00:00,49795.171687117814,52270.566238658896
2025-01-09 05:00:00,34394.00369137219,44551.07783835818
2025-01-09 06:00:00,60610.92775199024,56582.77076012192
2025-01-09 07:00:00,38870.53190607898,51079.293980440285
2025-01-09 08:00:00,59940.216853144004,52143.45000455095
2025-01-09 09:00:00,45642.05374766538,25475.316569317805
2025-01-09 10:00:00,55897.51540685924,50870.81420185645
2025-01-09 11:00:00,54821.43980343415,61850.220173635156
2025-01-09 12:00:00,50891.26743582497,61771.01242217072
2025-01-09 13:00:00,50844.781782946826,66410.03322857356
2025-01-09 14:00:00,46570.35199962296,60414.731130559005
2025-01-09 15:00:00,48366.79206333279,48161.51614007011
2025-01-09 16:00:00,48308.19211169399,56476.952588224456
2025-01-09 17:00:00,49305.446943538314,48205.6695659454
2025-01-09 18:00:00,46937.50855823765,53574.65005702484
2025-01-09 19:00:00,37348.38974698243,56638.230207106455
2025-01-09 20:00:00,44654.593163384416,49242.39777992823
2025-01-09 21:00:00,51415.188850140185,56478.88306192784
2025-01-09 22:00:00,46935.491391109135,43837.24478662129
2025-01-09 23:00:00,48078.86037108369,54312.546136536635
2025-01-10 00:00:00,43145.037014633956,50310.359989226294
2025-01-10 01:00:00,52585.24432035594,44321.269360955
2025-01-10 02:00:00,52995.62952602586,56683.095072323944
2025-01-10 03:00:00,29364.186717047345,36439.18646273208
2025-01-10 04:00:00,35525.39469982227,46172.55504794517
2025-01-10 05:00:00,46549.18993686508,48571.72367680582
2025-01-10 06:00:00,52018.46740598225,60976.42748090164
2025-01-10 07:00:00,50396.959350442885,47469.78398847889
2025-01-10 08:00:00,46888.167039888474,47504.023591645026
2025-01-10 09:00:00,54662.51449247358,57889.854910821356
2025-01-10 10:00:00,52847.72308594839,49537.46368896667
2025-01-10 11:00:00,46412.857182120366,41826.58228049979
2025-01-10 12:00:00,46880.30620309553,68968.27871848275
2025-01-10 13:00:00,37533.191747736186,56326.81759616271
2025-01-10 14:00:00,48803.94814962538,45791.660698345986
2025-01-10 15:00:00,52494.80554310769,47398.44665025324
2025-01-10 16:00:00,42228.16118769728,38913.08888405524
2025-01-10 17:00:00,48308.75507102447,50710.04010526452
2025-01-10 18:00:00,50692.61255264208,56444.42945580653
2025-01-10 19:00:00,54970.74589092807,33204.44678881799
2025-01-10 20:00:00,45537.22379886238,50282.284249608616
2025-01-10 21:00:00,41109.712858530314,36264.33773322935
2025-01-10 22:00:00,45304.26363333338,45787.61021062952
2025-01-10 23:00:00,50333.89247912926,49841.255375623165
2025-01-11 00:00:00,49889.12095756107,50099.443683493475
2025-01-11 01:00:00,35693.69103626548,68754.72147629151
2025-01-11 02:00:00,45294.67593936348,50953.786879785606
2025-01-11 03:00:00,39810.858555064486,43712.936311559475
2025-01-11 04:00:00,48260.38544897299,40474.34817955345
2025-01-11 05:00:00,50862.833265477115,43722.79390435566
