datetime,coal_mw,gas_mw,wind_mw,solar_mw,nuclear_mw
2025-01-01 00:00:00,12946.827503273344,19857.243370827724,14994.358420667515,6583.894752759273,5825.586010226967
2025-01-01 01:00:00,10200.754534884618,21633.257265631273,9832.902372301438,8308.693094613067,5420.831684812467
2025-01-01 02:00:00,13965.604187421673,26985.051214713792,19782.113242985513,7225.933360638538,5967.728486513601
2025-01-01 03:00:00,8942.324822149394,20896.42579479062,20839.118416964924,3105.2849988116354,5417.630246297454
2025-01-01 04:00:00,13624.327482513083,27241.050125643407,7413.206849071514,5320.842535527827,5945.95679447066
2025-01-01 05:00:00,14072.359353437761,31603.854942984784,15773.711302881808,4825.000485547928,5470.54368270271
2025-01-01 06:00:00,9191.164230473358,30069.35660851575,20307.078746970292,1124.2260292323883,5721.708398737812
2025-01-01 07:00:00,11349.994127898482,29173.094115095497,12549.757532548243,8507.059764676342,5293.223279948533
2025-01-01 08:00:00,14241.567723583941,31287.90161783072,10036.154315014377,4727.715489059268,5548.88435882553
2025-01-01 09:00:00,14715.040674378357,26574.60552598867,20301.73954099584,8545.266295627964,5325.564895611045
2025-01-01 10:00:00,13679.550019438579,28764.09116774973,8641.666471070334,6313.549272627872,5676.917386175068
2025-01-01 11:00:00,14586.37652292136,28834.978647816668,7727.809368079319,6665.53750421426,5227.808016165937
2025-01-01 12:00:00,14558.988732849417,31643.560256147866,19849.683166856667,4415.877199997554,5357.911284617746
2025-01-01 13:00:00,14858.037290656683,27060.471150423633,15404.980581075264,7863.832413440869,5633.941471695705
2025-01-01 14:00:00,10893.78123221154,21822.78923452112,7330.739802100963,2483.4783513331927,5303.675621266996
2025-01-01 15:00:00,10008.597941276004,20739.435007826774,15571.649186852257,8673.264336276534,5279.152154832949
2025-01-01 16:00:00,12430.60497228489,22293.720864313378,19771.849087698865,5930.490986305037,5380.376103527445
2025-01-01 17:00:00,9321.958340683412,28664.543267802605,5607.526055734993,3658.7580122404847,5621.666434553365
2025-01-01 18:00:00,11899.107639116664,27191.749328191683,8620.43669804623,6914.850687147266,5333.173770155949
2025-01-01 19:00:00,12055.014329758986,21069.554092496255,14875.806041313686,6961.216036145608,5434.512319366981
2025-01-01 20:00:00,13645.058817799509,30037.642340942843,6069.80139871213,7196.504774304289,5020.958814289521
2025-01-01 21:00:00,10532.54872312714,31738.682681713115,20298.095672005824,3347.791222179642,5699.995349039511
2025-01-01 22:00:00,12212.780087799052,28600.94525119706,14673.13156546434,1205.3930475435468,5811.77506610424
2025-01-01 23:00:00,14322.924276385373,18869.46818250892,14529.756623245783,8113.736634241064,5827.094689955187
2025-01-02 00:00:00,10952.25190662227,26785.61042971738,5006.069084788874,7380.314676491582,5549.551413049298
2025-01-02 01:00:00,12002.063130961855,31127.684729807967,11583.613784979549,4215.15463474693,5424.937339416097
2025-01-02 02:00:00,13511.632702079693,22381.493205377054,7508.599859359543,2329.7667234598807,5186.049283294215
2025-01-02 03:00:00,9747.499176539412,26196.033944714713,18553.498774403568,4750.578789577074,5655.946137236038
2025-01-02 04:00:00,8723.59468364008,21177.787425013285,10050.29151094477,3446.126107660468,5576.697506040738
2025-01-02 05:00:00,12772.605050211947,30329.60885983395,11254.580838632744,2552.450417312812,5429.82484391913
2025-01-02 06:00:00,10593.344978623996,30179.730908068057,15531.822400064879,4889.306160282899,5614.69500593276
2025-01-02 07:00:00,10671.229582426022,23102.374038216163,16913.590554605253,7637.476828660866,5954.27083849966
2025-01-02 08:00:00,14510.651058343326,22895.72268909443,18219.63261872001,5653.508190736181,5135.838852093202
2025-01-02 09:00:00,10855.12469006905,18001.41282330817,7147.527993343082,4899.426802196533,5964.655699665351
2025-01-02 10:00:00,14675.747038386566,22444.262879716196,8725.950787096346,8952.543394304977,5570.239707392111
2025-01-02 11:00:00,8744.599318704186,28939.881444055853,5662.963598066296,7082.477514759187,5832.000384560185
2025-01-02 12:00:00,10400.83961841193,18400.572676363594,19416.047743694748,2055.380268099939,5993.74103288827
2025-01-02 13:00:00,12850.599359647185,20838.428685505627,9677.841150398996,4334.871797604081,5928.470815109307
2025-01-02 14:00:00,8881.985948423493,28223.76087041403,6270.666804438306,4719.734910508136,5399.187482467956
2025-01-02 15:00:00,10709.291011326597,27071.877376533048,9604.367550060164,5884.407332521698,5457.835652012197
2025-01-02 16:00:00,13962.217033437937,31813.134174068073,5028.900909886099,6454.115596257846,5605.8663372034935
2025-01-02 17:00:00,13332.345482935198,23468.65868889251,19058.501423031368,3604.289599891846,5637.972387769638
2025-01-02 18:00:00,9974.730350041786,19865.92537130535,9166.651473383241,3939.0745364820214,5228.232881609118
2025-01-02 19:00:00,10495.168868670155,27305.97447855175,10301.305258456618,1827.766598984196,5947.8160707132465
2025-01-02 20:00:00,11535.578311014382,19106.36990005479,20926.115408022575,1714.5528185406943,5827.946997395173
2025-01-02 21:00:00,13119.015137282247,19634.563636009098,7407.961551961494,7063.794359552448,5130.272544054137
